NetRtg.Rk,Team,Conf,NetRtg,ORtg,ORtg.Rk,DRtg,DRtg.Rk,AdjT,AdjT.Rk,Luck,Luck.Rk,SOS.NetRtg,SOS.NetRtg.Rk,SOS.ORtg,SOS.ORtg.Rk,SOS.DRtg,SOS.DRtg.Rk,NCSOS.NetRtg,NCSOS.NetRk,Seed,W,L,WinPct
1,Villanova,BE,33.76,127.8,1,94.0,11,68.7,150,-0.018,225,11.31,6,111.3,10,100.0,12,3.98,61,1,36,4,0.9
2,Virginia,ACC,29.53,115.2,30,85.6,1,59.4,351,0.048,66,9.24,37,110.0,33,100.7,33,-0.08,158,1,31,3,0.9117647058823529
3,Duke,ACC,28.86,122.4,3,93.6,9,69.7,93,-0.034,271,10.6,15,110.4,30,99.8,10,4.09,58,2,29,8,0.7837837837837838
4,Cincinnati,Amer,26.6,113.4,49,86.8,2,64.5,330,-0.019,230,3.46,87,106.9,89,103.4,90,-4.21,294,2,31,5,0.8611111111111112
5,Purdue,B10,26.27,122.7,2,96.4,31,67.2,223,0.006,163,9.02,41,109.1,51,100.1,14,0.69,144,2,30,7,0.8108108108108109
6,Michigan St.,B10,25.41,119.2,13,93.8,10,67.0,234,0.038,83,6.64,62,108.6,63,101.9,65,-5.03,303,3,30,5,0.8571428571428571
7,Michigan,B10,24.2,114.7,35,90.5,3,64.9,324,0.052,61,10.32,18,111.4,7,101.1,47,-4.83,301,3,33,8,0.8048780487804879
8,North Carolina,ACC,23.59,120.3,6,96.7,38,71.2,46,-0.011,207,13.26,1,111.6,5,98.3,1,7.58,17,2,26,11,0.7027027027027027
9,Kansas,B12,23.49,120.9,5,97.4,47,68.8,144,0.076,23,12.41,2,111.7,3,99.3,3,3.55,70,1,31,8,0.7948717948717948
10,Gonzaga,WCC,23.03,118.1,14,95.1,18,69.4,107,0.009,153,1.57,108,106.4,102,104.8,128,3.12,78,4,32,5,0.8648648648648649
11,Texas Tech,B12,22.59,113.3,50,90.8,4,66.7,247,-0.007,195,10.31,19,110.7,23,100.4,25,-5.24,309,3,27,10,0.7297297297297297
12,West Virginia,B12,22.44,119.4,10,96.9,41,69.2,120,-0.014,214,10.59,16,109.9,38,99.3,2,-4.72,299,5,26,11,0.7027027027027027
13,Tennessee,SEC,22.27,114.6,36,92.4,6,66.0,282,0.019,125,11.01,11,111.2,13,100.2,18,7.1,20,3,26,9,0.7428571428571429
14,Clemson,ACC,21.65,114.2,44,92.6,7,66.1,274,-0.009,203,10.22,20,110.6,26,100.4,23,-1.91,214,5,25,10,0.7142857142857143
15,Xavier,BE,21.51,120.1,8,98.6,57,70.5,62,0.091,17,9.35,35,109.9,37,100.6,29,1.84,108,1,29,6,0.8285714285714286
16,Ohio St.,B10,21.16,116.0,23,94.9,15,67.0,238,0.02,124,8.75,44,109.8,40,101.1,46,0.26,151,5,25,9,0.7352941176470589
17,Kentucky,SEC,20.44,115.8,24,95.4,22,68.8,146,-0.008,199,10.91,12,110.8,22,99.8,11,4.67,44,5,26,11,0.7027027027027027
18,Houston,Amer,20.24,114.6,38,94.4,13,68.4,167,-0.015,216,3.9,81,106.6,95,102.7,75,-3.08,254,6,27,8,0.7714285714285715
20,Butler,BE,19.05,116.2,22,97.2,45,67.6,207,-0.047,290,11.21,7,112.0,1,100.8,34,0.11,154,10,21,14,0.6
21,Wichita St.,Amer,19.03,121.0,4,101.9,111,68.6,162,-0.026,254,5.13,73,107.3,79,102.2,70,1.55,114,4,25,8,0.7575757575757576
22,Florida,SEC,18.96,114.5,41,95.5,24,67.1,226,-0.059,310,10.74,13,110.2,31,99.5,4,4.57,46,6,21,13,0.6176470588235294
23,Auburn,SEC,18.69,115.4,26,96.7,37,72.6,18,0.034,94,7.52,57,108.8,58,101.3,51,-1.86,211,4,26,8,0.7647058823529411
24,TCU,B12,18.47,119.7,9,101.2,100,68.6,160,-0.067,322,9.67,29,110.7,24,101.0,43,-0.82,178,6,21,12,0.6363636363636364
25,Nevada,MWC,18.39,120.2,7,101.8,108,69.4,105,-0.026,255,5.13,74,107.0,87,101.8,63,3.61,67,7,29,8,0.7837837837837838
26,Seton Hall,BE,18.04,116.9,17,98.8,62,69.5,103,-0.028,260,10.12,21,110.5,27,100.4,24,-0.0,157,8,22,12,0.6470588235294118
27,Florida St.,ACC,17.77,114.3,43,96.5,33,71.2,45,-0.029,261,9.27,36,109.6,45,100.3,20,-6.91,330,9,23,12,0.6571428571428571
28,Arizona,P12,17.7,118.0,15,100.4,83,67.1,224,0.036,88,5.96,68,108.5,65,102.5,73,2.51,86,4,27,8,0.7714285714285715
29,Texas A&M,SEC,16.96,111.3,66,94.4,14,69.5,101,0.014,140,11.69,4,111.8,2,100.1,15,5.12,37,7,22,13,0.6285714285714286
30,Creighton,BE,16.91,115.5,25,98.6,58,70.8,57,-0.028,259,9.4,33,110.8,21,101.4,54,-4.2,292,8,21,12,0.6363636363636364
31,Loyola Chicago,MVC,16.39,111.4,63,95.0,17,65.5,307,0.077,22,2.48,99,104.8,156,102.3,72,-5.47,315,11,32,6,0.8421052631578947
33,Virginia Tech,ACC,16.03,115.3,28,99.3,70,68.7,147,-0.018,229,7.91,53,109.2,47,101.3,52,-9.76,344,8,21,12,0.6363636363636364
36,Texas,B12,15.43,109.5,89,94.1,12,65.2,316,-0.03,263,11.77,3,111.4,8,99.6,5,2.05,99,10,19,15,0.5588235294117647
37,Miami FL,ACC,15.43,112.9,53,97.4,48,67.0,233,0.017,128,8.08,52,109.1,52,101.0,42,-3.82,284,6,22,10,0.6875
40,Missouri,SEC,14.83,111.9,58,97.0,43,65.7,296,-0.025,249,9.55,32,109.8,41,100.2,19,1.07,132,8,20,13,0.6060606060606061
41,Syracuse,ACC,14.82,107.0,135,92.2,5,62.9,345,0.021,119,9.81,27,111.3,9,101.5,58,-0.2,163,11,23,14,0.6216216216216216
42,Kansas St.,B12,14.77,110.1,78,95.3,21,65.6,302,0.071,31,9.39,34,111.0,14,101.6,59,-6.5,324,9,25,12,0.6756756756756757
43,Davidson,A10,14.7,117.0,16,102.3,120,64.5,332,-0.063,318,2.11,104,105.6,116,103.5,91,1.33,121,12,21,12,0.6363636363636364
44,Arkansas,SEC,14.69,116.3,20,101.7,106,69.7,91,0.059,56,9.9,25,110.5,28,100.6,27,0.87,141,7,23,12,0.6571428571428571
46,N.C. State,ACC,14.52,116.3,21,101.8,109,71.4,38,-0.001,178,7.71,55,108.6,62,100.9,39,-9.71,342,9,21,12,0.6363636363636364
48,Oklahoma,B12,14.16,114.6,37,100.5,85,75.5,4,-0.008,198,11.68,5,111.3,11,99.6,6,2.13,96,10,18,14,0.5625
49,Arizona St.,P12,14.13,116.7,18,102.6,123,71.3,43,-0.083,340,5.48,71,107.4,77,101.9,64,0.94,138,11,20,12,0.625
50,San Diego St.,MWC,14.09,110.5,77,96.4,30,68.8,142,-0.032,265,3.46,86,107.2,80,103.8,96,-0.8,177,11,22,11,0.6666666666666666
52,Rhode Island,A10,13.93,111.1,69,97.2,46,68.4,173,0.063,44,3.49,85,107.6,75,104.1,107,3.83,64,7,26,8,0.7647058823529411
56,UCLA,P12,13.52,115.0,31,101.4,103,70.3,70,-0.027,257,6.42,63,108.1,72,101.7,60,2.93,81,11,21,12,0.6363636363636364
57,Alabama,SEC,13.41,108.7,106,95.2,20,68.7,151,0.017,130,11.17,8,110.9,19,99.7,7,2.54,84,9,20,16,0.5555555555555556
60,New Mexico St.,WAC,12.92,107.9,116,95.0,16,68.5,165,0.027,106,-1.4,174,104.0,193,105.4,157,3.7,66,12,28,6,0.8235294117647058
62,Murray St.,OVC,12.19,112.9,54,100.7,93,67.2,222,-0.0,176,-3.56,243,102.9,253,106.4,222,-0.99,185,12,26,6,0.8125
63,Providence,BE,12.17,108.9,100,96.7,36,67.1,227,0.074,28,10.58,17,111.6,4,101.1,45,-1.38,193,10,21,14,0.6
67,Buffalo,MAC,11.53,114.7,34,103.2,135,72.7,16,0.006,158,-0.06,140,105.1,145,105.2,147,3.87,62,13,27,9,0.75
68,St. Bonaventure,A10,11.21,110.8,74,99.5,74,69.4,104,0.078,21,2.8,94,107.0,86,104.2,111,1.17,127,11,26,8,0.7647058823529411
72,Montana,BSky,10.4,108.8,101,98.4,56,68.0,185,-0.0,175,-1.96,186,104.0,192,106.0,192,2.09,98,14,26,8,0.7647058823529411
78,South Dakota St.,Sum,10.2,113.8,47,103.6,150,70.5,61,0.097,13,-0.09,141,105.8,113,105.9,188,3.59,68,12,28,7,0.8
82,UNC Greensboro,SC,9.22,104.9,174,95.7,26,65.2,317,-0.024,244,-4.57,280,103.7,210,108.2,315,-3.46,272,13,27,8,0.7714285714285715
97,Bucknell,Pat,7.31,109.5,90,102.2,116,71.4,40,0.006,160,-4.35,268,102.8,260,107.1,264,5.79,31,14,25,10,0.7142857142857143
101,Georgia St.,SB,6.92,108.8,102,101.9,110,66.8,246,-0.015,218,-2.51,207,103.4,229,105.9,186,-3.22,263,15,24,11,0.6857142857142857
105,Marshall,CUSA,6.53,109.4,93,102.9,126,74.7,6,0.06,54,0.07,137,105.6,118,105.5,164,-7.0,333,13,25,11,0.6944444444444444
112,Stephen F. Austin,Slnd,5.58,104.5,181,99.0,64,71.1,49,0.031,97,-7.16,319,100.6,330,107.8,293,-2.26,225,14,28,7,0.8
115,College of Charleston,CAA,5.16,108.7,105,103.6,149,64.9,323,0.035,91,-4.06,257,104.8,153,108.9,332,-7.64,337,13,26,8,0.7647058823529411
125,Penn,Ivy,3.69,103.1,208,99.4,72,68.9,132,0.076,24,-4.15,261,103.7,209,107.8,296,-2.98,249,16,24,9,0.7272727272727273
133,Wright St.,Horz,2.89,100.6,249,97.7,51,68.3,176,0.074,27,-3.79,250,102.7,266,106.5,228,2.23,92,14,25,10,0.7142857142857143
137,Iona,MAAC,2.63,110.0,80,107.3,218,70.7,58,-0.008,196,-2.12,195,103.1,240,105.2,151,2.14,95,15,20,14,0.5882352941176471
162,Cal St. Fullerton,BW,0.62,103.7,192,103.1,133,69.6,98,0.097,14,-1.2,167,103.8,204,105.0,139,2.76,83,15,20,12,0.625
166,UMBC,AE,0.5,103.1,206,102.6,124,68.4,170,0.125,2,-4.38,269,102.7,267,107.1,259,-3.55,277,16,25,11,0.6944444444444444
167,Lipscomb,ASun,0.43,103.2,203,102.8,125,74.9,5,0.112,7,-4.31,267,103.2,235,107.5,278,5.84,30,15,23,10,0.696969696969697
170,Radford,BSth,0.07,102.9,212,102.9,127,63.0,344,0.063,45,-4.03,255,102.8,259,106.9,249,3.49,71,16,23,13,0.6388888888888888
243,Texas Southern,SWAC,-6.65,104.6,180,111.2,299,71.7,31,-0.01,206,-6.3,304,101.0,318,107.3,271,17.2,1,16,16,20,0.4444444444444444
259,LIU Brooklyn,NEC,-8.27,102.3,220,110.6,287,71.6,37,0.012,144,-8.68,336,100.2,334,108.9,333,-6.06,317,16,18,17,0.5142857142857142
316,North Carolina Central,MEAC,-13.41,96.6,314,110.0,276,65.0,321,0.019,126,-12.78,350,98.4,349,111.2,351,-1.47,196,16,19,16,0.5428571428571428
